player,team,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE,map,date,source_url,event
nAts,TL,5,3,0,0,1,1,0,0,0,56,0,1,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
trexx,TL,9,0,1,0,1,1,0,0,0,53,6,2,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
Kicks,TL,3,2,0,0,2,0,0,0,0,45,5,2,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
kamo,TL,8,3,1,0,0,0,0,0,0,57,1,2,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
GSR,TL,6,2,1,0,0,0,0,0,0,55,3,3,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
Jinggg,PRX,3,4,0,0,0,0,1,0,0,45,8,1,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
invy,PRX,9,1,1,0,0,0,0,0,0,56,12,2,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
f0rsakeN,PRX,9,0,0,0,1,0,0,0,0,44,2,1,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
d4v41,PRX,5,2,0,1,1,0,0,0,0,53,2,1,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
something,PRX,12,2,1,1,1,1,1,0,0,61,1,2,all,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
nAts,TL,2,1,0,0,1,0,0,0,0,66,0,0,Ascent,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
trexx,TL,3,0,1,0,0,0,0,0,0,64,1,0,Ascent,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
Kicks,TL,2,1,0,0,1,0,0,0,0,48,0,1,Ascent,2026-09-24 05:00:00,https://www.vlr.gg/753455/team-liquid-vs-paper-rex-valorant-champions-2026-opening-c,Valorant Champions 2026
